Loading previously saved residue dgl graphs...
[0;30;43m Pre-training VQ-VAE | Epoch: 1,  Batch: 0 | Train Loss: 1.82080 | 0.00759 0.65063 1.17083[0m
[0;30;43m Pre-training VQ-VAE | Epoch: 11, Batch: 0 | Train Loss: 0.07513 | 0.00329 0.05143 0.02056[0m
[0;30;43m Pre-training VQ-VAE | Epoch: 21, Batch: 0 | Train Loss: 0.06470 | 0.00324 0.04287 0.01872[0m
[0;30;43m Pre-training VQ-VAE | Epoch: 31, Batch: 0 | Train Loss: 0.06180 | 0.00316 0.04161 0.01715[0m
[0;30;43m Pre-training VQ-VAE | Epoch: 41, Batch: 0 | Train Loss: 0.06634 | 0.00328 0.04128 0.02193[0m
[0;30;43m Pre-training VQ-VAE | Epoch: 51, Batch: 0 | Train Loss: 0.06394 | 0.00329 0.04141 0.01937[0m
Loading previously saved dgl graphs and corresponding data...
Loading previously saved dgl graphs and corresponding data...
Loading previously saved dgl graphs and corresponding data...
the number of train data: 11904
the number of valid data: 1000
the number of test data: 285
epoch:127 	 train_rmse:0.4612 	 valid_rmse:1.2641 	 time:78.000 s
epoch:128 	 train_rmse:0.4304 	 valid_rmse:1.2566 	 time:78.000 s
epoch:129 	 train_rmse:0.4450 	 valid_rmse:1.2524 	 time:78.000 s
epoch:130 	 train_rmse:0.4784 	 valid_rmse:1.2726 	 time:78.000 s
epoch:131 	 train_rmse:0.4679 	 valid_rmse:1.2760 	 time:78.000 s
epoch:132 	 train_rmse:0.4225 	 valid_rmse:1.2550 	 time:78.000 s
epoch:133 	 train_rmse:0.4110 	 valid_rmse:1.2375 	 time:78.000 s
epoch:134 	 train_rmse:0.4166 	 valid_rmse:1.2564 	 time:78.000 s
epoch:135 	 train_rmse:0.4252 	 valid_rmse:1.2315 	 time:78.000 s
epoch:136 	 train_rmse:0.3885 	 valid_rmse:1.2198 	 time:78.000 s
epoch:137 	 train_rmse:0.4303 	 valid_rmse:1.2562 	 time:78.000 s
epoch:138 	 train_rmse:0.4380 	 valid_rmse:1.2617 	 time:78.000 s
epoch:139 	 train_rmse:0.4556 	 valid_rmse:1.2827 	 time:78.000 s
epoch:140 	 train_rmse:0.4070 	 valid_rmse:1.2564 	 time:78.000 s
epoch:141 	 train_rmse:0.4169 	 valid_rmse:1.2438 	 time:78.000 s
epoch:142 	 train_rmse:0.4506 	 valid_rmse:1.2437 	 time:78.000 s
epoch:143 	 train_rmse:0.4381 	 valid_rmse:1.2706 	 time:78.000 s
epoch:144 	 train_rmse:0.4323 	 valid_rmse:1.2697 	 time:78.000 s
epoch:145 	 train_rmse:0.3970 	 valid_rmse:1.2304 	 time:78.000 s
epoch:146 	 train_rmse:0.3887 	 valid_rmse:1.2497 	 time:78.000 s
epoch:147 	 train_rmse:0.4155 	 valid_rmse:1.2423 	 time:78.000 s
epoch:148 	 train_rmse:0.3944 	 valid_rmse:1.2340 	 time:78.000 s
epoch:149 	 train_rmse:0.4687 	 valid_rmse:1.2354 	 time:78.000 s
epoch:150 	 train_rmse:0.4458 	 valid_rmse:1.2425 	 time:78.000 s
epoch:151 	 train_rmse:0.3972 	 valid_rmse:1.2099 	 time:78.000 s
epoch:152 	 train_rmse:0.3911 	 valid_rmse:1.2461 	 time:78.000 s
epoch:153 	 train_rmse:0.3748 	 valid_rmse:1.2286 	 time:78.000 s
epoch:154 	 train_rmse:0.3795 	 valid_rmse:1.2281 	 time:78.000 s
epoch:155 	 train_rmse:0.3932 	 valid_rmse:1.2483 	 time:78.000 s
epoch:156 	 train_rmse:0.3980 	 valid_rmse:1.2468 	 time:78.000 s
epoch:157 	 train_rmse:0.4298 	 valid_rmse:1.2585 	 time:78.000 s
epoch:158 	 train_rmse:0.4081 	 valid_rmse:1.2507 	 time:78.000 s
epoch:159 	 train_rmse:0.3699 	 valid_rmse:1.2334 	 time:78.000 s
epoch:160 	 train_rmse:0.4220 	 valid_rmse:1.2376 	 time:78.000 s
epoch:161 	 train_rmse:0.4471 	 valid_rmse:1.2480 	 time:78.000 s
epoch:162 	 train_rmse:0.3727 	 valid_rmse:1.2387 	 time:78.000 s
epoch:163 	 train_rmse:0.3911 	 valid_rmse:1.2406 	 time:78.000 s
epoch:164 	 train_rmse:0.4742 	 valid_rmse:1.2670 	 time:78.000 s
epoch:165 	 train_rmse:0.3584 	 valid_rmse:1.2328 	 time:78.000 s
epoch:166 	 train_rmse:0.3902 	 valid_rmse:1.2431 	 time:78.000 s
epoch:167 	 train_rmse:0.3514 	 valid_rmse:1.2472 	 time:78.000 s
epoch:168 	 train_rmse:0.4104 	 valid_rmse:1.2399 	 time:78.000 s
epoch:169 	 train_rmse:0.4328 	 valid_rmse:1.2688 	 time:78.000 s
epoch:170 	 train_rmse:0.3783 	 valid_rmse:1.2398 	 time:78.000 s
epoch:171 	 train_rmse:0.4033 	 valid_rmse:1.2401 	 time:78.000 s
epoch:172 	 train_rmse:0.4544 	 valid_rmse:1.2698 	 time:78.000 s
epoch:173 	 train_rmse:0.3773 	 valid_rmse:1.2484 	 time:78.000 s
epoch:174 	 train_rmse:0.4522 	 valid_rmse:1.2845 	 time:78.000 s
epoch:175 	 train_rmse:0.3787 	 valid_rmse:1.2474 	 time:78.000 s
epoch:176 	 train_rmse:0.3644 	 valid_rmse:1.2510 	 time:78.000 s
epoch:177 	 train_rmse:0.4129 	 valid_rmse:1.2443 	 time:78.000 s
epoch:178 	 train_rmse:0.3573 	 valid_rmse:1.2470 	 time:78.000 s
epoch:179 	 train_rmse:0.3787 	 valid_rmse:1.2541 	 time:78.000 s
epoch:180 	 train_rmse:0.3507 	 valid_rmse:1.2343 	 time:78.000 s
epoch:181 	 train_rmse:0.3899 	 valid_rmse:1.2397 	 time:78.000 s
epoch:182 	 train_rmse:0.3527 	 valid_rmse:1.2225 	 time:78.000 s
epoch:183 	 train_rmse:0.4085 	 valid_rmse:1.2740 	 time:78.000 s
epoch:184 	 train_rmse:0.4118 	 valid_rmse:1.2545 	 time:78.000 s
epoch:185 	 train_rmse:0.3688 	 valid_rmse:1.2237 	 time:78.000 s
epoch:186 	 train_rmse:0.3617 	 valid_rmse:1.2341 	 time:78.000 s
epoch:187 	 train_rmse:0.3830 	 valid_rmse:1.2549 	 time:78.000 s
epoch:188 	 train_rmse:0.3631 	 valid_rmse:1.2658 	 time:78.000 s
epoch:189 	 train_rmse:0.3532 	 valid_rmse:1.2141 	 time:78.000 s
epoch:190 	 train_rmse:0.4148 	 valid_rmse:1.2545 	 time:78.000 s
epoch:191 	 train_rmse:0.3762 	 valid_rmse:1.2516 	 time:78.000 s
epoch:192 	 train_rmse:0.3926 	 valid_rmse:1.2231 	 time:78.000 s
epoch:193 	 train_rmse:0.3351 	 valid_rmse:1.2320 	 time:78.000 s
epoch:194 	 train_rmse:0.3880 	 valid_rmse:1.2311 	 time:78.000 s
epoch:195 	 train_rmse:0.3315 	 valid_rmse:1.2223 	 time:78.000 s
epoch:196 	 train_rmse:0.3401 	 valid_rmse:1.2339 	 time:78.000 s
epoch:197 	 train_rmse:0.3738 	 valid_rmse:1.2310 	 time:78.000 s
epoch:198 	 train_rmse:0.3738 	 valid_rmse:1.2460 	 time:78.000 s
epoch:199 	 train_rmse:0.4293 	 valid_rmse:1.2106 	 time:78.000 s
epoch:200 	 train_rmse:0.3744 	 valid_rmse:1.2473 	 time:78.000 s
epoch:201 	 train_rmse:0.4079 	 valid_rmse:1.2256 	 time:78.000 s
epoch:202 	 train_rmse:0.3837 	 valid_rmse:1.2330 	 time:78.000 s
epoch:203 	 train_rmse:0.3325 	 valid_rmse:1.2302 	 time:78.000 s
epoch:204 	 train_rmse:0.3582 	 valid_rmse:1.2377 	 time:78.000 s
epoch:205 	 train_rmse:0.3564 	 valid_rmse:1.2392 	 time:78.000 s
epoch:206 	 train_rmse:0.3837 	 valid_rmse:1.2586 	 time:78.000 s
epoch:207 	 train_rmse:0.3468 	 valid_rmse:1.2439 	 time:78.000 s
epoch:208 	 train_rmse:0.3970 	 valid_rmse:1.2547 	 time:78.000 s
epoch:209 	 train_rmse:0.3447 	 valid_rmse:1.2004 	 time:78.000 s
epoch:210 	 train_rmse:0.3311 	 valid_rmse:1.2186 	 time:78.000 s
epoch:211 	 train_rmse:0.3237 	 valid_rmse:1.2352 	 time:78.000 s
epoch:212 	 train_rmse:0.3571 	 valid_rmse:1.2210 	 time:78.000 s
epoch:213 	 train_rmse:0.3619 	 valid_rmse:1.2385 	 time:78.000 s
epoch:214 	 train_rmse:0.3796 	 valid_rmse:1.2583 	 time:78.000 s
epoch:215 	 train_rmse:0.4146 	 valid_rmse:1.2460 	 time:78.000 s
epoch:216 	 train_rmse:0.3916 	 valid_rmse:1.2236 	 time:78.000 s
epoch:217 	 train_rmse:0.3741 	 valid_rmse:1.2178 	 time:78.000 s
epoch:218 	 train_rmse:0.3443 	 valid_rmse:1.2456 	 time:78.000 s
epoch:219 	 train_rmse:0.3883 	 valid_rmse:1.2042 	 time:78.000 s
epoch:220 	 train_rmse:0.3775 	 valid_rmse:1.2240 	 time:78.000 s
epoch:221 	 train_rmse:0.4460 	 valid_rmse:1.2715 	 time:78.000 s
epoch:222 	 train_rmse:0.3444 	 valid_rmse:1.2368 	 time:78.000 s
epoch:223 	 train_rmse:0.3239 	 valid_rmse:1.2251 	 time:78.000 s
